traditional,simplified,zhuyin,pinyin,translations,classifiers,class,level
口語,口语,ㄎㄡˇ ㄩˇ,kǒu yǔ,colloquial speech / spoken language / vernacular language / slander / gossip,門|门,N,Level 4
扣,扣,ㄎㄡˋ,kòu,"to fasten / to button / button / buckle / knot / to arrest / to confiscate / to deduct (money) / discount / to knock / to smash, spike or dunk (a ball) / to cover (with a bowl etc) / (fig.) to tag a label on sb / (Tw) (loanword) code",,V,Level 4
誇獎,夸奖,ㄎㄨㄚ ㄐㄧㄤˇ,kuā jiǎng,to praise / to applaud / to compliment,,V,Level 4
跨,跨,ㄎㄨㄚˋ,kuà,to step across / to stride over / to straddle / to span,,V,Level 4
會計,会计,ㄎㄨㄞˋ ㄐㄧˋ,kuài jì,accountant / accountancy / accounting,,N,Level 4
寬度,宽度,ㄎㄨㄢ ㄉㄨˋ,kuān dù,width,,N,Level 4
喇叭,喇叭,ㄌㄚˇ ㄅㄚ,lǎ bā,horn (automobile etc) / loudspeaker / brass wind instrument / trumpet / suona 鎖吶|锁呐[suo3 na4],,N,Level 4
蠟燭,蜡烛,ㄌㄚˋ ㄓㄨˊ,là zhú,candle,根|根 / 支|支,N,Level 4
辣椒,辣椒,ㄌㄚˋ ㄐㄧㄠ,là jiāo,hot pepper / chili,,N,Level 4
來,来,ㄌㄞˊ,lái,to come / to arrive / to come round / ever since / next,,N,Level 4
來回,来回,ㄌㄞˊ ㄏㄨㄟˊ,lái huí,to make a round trip / return journey / back and forth / to and fro / repeatedly,,V,Level 4
來臨,来临,ㄌㄞˊ ㄌㄧㄣˊ,lái lín,to approach / to come closer,,Vp,Level 4
來往,来往,ㄌㄞˊ ㄨㄤˇ,lái wǎng,to come and go / to have dealings with / to be in relation with,,Vi,Level 4
來信,来信,ㄌㄞˊ ㄒㄧㄣˋ,lái xìn,incoming letter / send a letter here,,N,Level 4
來源,来源,ㄌㄞˊ ㄩㄢˊ,lái yuán,source (of information etc) / origin,,N,Level 4
來自,来自,ㄌㄞˊ ㄗˋ,lái zì,to come from (a place) / From: (in email header),,Vpt,Level 4
籃子,篮子,ㄌㄢˊ ㄗ˙,lán zi,basket,隻|只,N,Level 4
懶,懒,ㄌㄢˇ,lǎn,lazy,,Vs,Level 4
懶得,懒得,ㄌㄢˇ ㄉㄜ˙,lǎn de,not to feel like (doing sth) / disinclined to,,Aux,Level 4
爛,烂,ㄌㄢˋ,làn,soft / mushy / well-cooked and soft / to rot / to decompose / rotten / worn out / chaotic / messy / utterly / thoroughly / crappy / bad,,Vs,Level 4
濫用,滥用,ㄌㄢˋ ㄩㄥˋ,làn yòng,to misuse / to abuse,,V,Level 4
狼,狼,ㄌㄤˊ,láng,wolf,匹|匹 / 隻|只 / 條|条,N,Level 4
浪,浪,ㄌㄤˋ,làng,wave / breaker / unrestrained / dissipated / to stroll / to ramble,,N,Level 4
浪費,浪费,ㄌㄤˋ ㄈㄟˋ,làng fèi,to waste / to squander,,Vs,Level 4
撈,捞,ㄌㄠ,lāo,to fish up / to dredge up,,V,Level 4
牢,牢,ㄌㄠˊ,láo,firm / sturdy / fold (for animals) / sacrifice / prison,,Vs,Level 4
牢騷,牢骚,ㄌㄠˊ ㄙㄠ,láo sāo,discontent / complaint / to complain,,N,Level 4
勞動,劳动,ㄌㄠˊ ㄉㄨㄥˋ,láo dòng,work / toil / physical labor,次|次,V,Level 4
勞工,劳工,ㄌㄠˊ ㄍㄨㄥ,láo gōng,labor / laborer,,N,Level 4
勞力,劳力,ㄌㄠˊ ㄌㄧˋ,láo lì,labor / able-bodied worker / laborer / work force,,N,Level 4
嘮叨,唠叨,ㄌㄠˊ ㄉㄠ,láo dāo,to prattle / to chatter away / to nag / garrulous / nagging,,Vi,Level 4
老,老,ㄌㄠˇ,lǎo,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity / old (of people) / venerable (person) / experienced / of long standing / always / all the time / of the past / very / outdated / (of meat etc) tough,,Adv,Level 4
老百姓,老百姓,ㄌㄠˇ ㄅㄞˇ ㄒㄧㄥˋ,lǎo bǎi xìng,"ordinary people / the ""person in the street""",個|个,N,Level 4
老闆娘,老板娘,ㄌㄠˇ ㄅㄢˇ ㄋㄧㄤˊ,lǎo bǎn niáng,female proprietor / lady boss / boss's wife,,N,Level 4
老板娘,老板娘,ㄌㄠˇ ㄅㄢˇ ㄋㄧㄤˊ,lǎo bǎn niáng,female proprietor / lady boss / boss's wife,,N,Level 4
老大,老大,ㄌㄠˇ ㄉㄚˋ,lǎo dà,old age / very / eldest child in a family / leader of a group / boss / captain of a boat / leader of a criminal gang,,N,Level 4
老家,老家,ㄌㄠˇ ㄐㄧㄚ,lǎo jiā,native place / place of origin / home state or region,,N,Level 4
老實說,老实说,ㄌㄠˇ ㄕˊ ㄕㄨㄛ,lǎo shí shuō,"honestly speaking / to be frank, ...",,Phrase,Level 4
老太太,老太太,ㄌㄠˇ ㄊㄞˋ ㄊㄞ˙,lǎo tài tai,elderly lady (respectful) / esteemed mother,位|位,N,Level 4
樂意,乐意,ㄌㄜˋ ㄧˋ,lè yì,to be willing to do sth / to be ready to do sth / to be happy to do sth / content / satisfied,,Vs,Level 4
類似,类似,ㄌㄟˋ ㄙˋ,lèi sì,similar / analogous,,Vs,Level 4
冷靜,冷静,ㄌㄥˇ ㄐㄧㄥˋ,lěng jìng,calm / cool-headed,,Vs,Level 4
冷飲,冷饮,ㄌㄥˇ ㄧㄣˇ,lěng yǐn,cold drink,,N,Level 4
梨,梨,ㄌㄧˊ,lí,pear,個|个,N,Level 4
梨子,梨子,ㄌㄧˊ ㄗ˙,lí zi,pear,個|个,N,Level 4
理,理,ㄌㄧˇ,lǐ,texture / grain (of wood) / inner essence / intrinsic order / reason / logic / truth / science / natural science (esp. physics) / to manage / to pay attention to / to run (affairs) / to handle / to put in order / to tidy up,,V,Level 4
理,理,ㄌㄧˇ,lǐ,texture / grain (of wood) / inner essence / intrinsic order / reason / logic / truth / science / natural science (esp. physics) / to manage / to pay attention to / to run (affairs) / to handle / to put in order / to tidy up,,Vst,Level 4
理由,理由,ㄌㄧˇ ㄧㄡˊ,lǐ yóu,reason / grounds / justification,個|个,N,Level 4
裡頭,里头,ㄌㄧˇ ㄊㄡˊ,lǐ tóu,inside / interior,,N,Level 4
裏頭,里头,ㄌㄧˇ ㄊㄡˊ,lǐ tóu,inside / interior,,N,Level 4
禮,礼,ㄌㄧˇ,lǐ,gift / rite / ceremony / propriety / etiquette / courtesy,份|份,N,Level 4
禮品,礼品,ㄌㄧˇ ㄆㄧㄣˇ,lǐ pǐn,gift / present,,N,Level 4
力氣,力气,ㄌㄧˋ ㄑㄧˋ,lì qì,strength,把|把,N,Level 4
立,立,ㄌㄧˋ,lì,to stand / to set up / to establish / to lay down / to draw up / at once / immediately,,V,Level 4
立場,立场,ㄌㄧˋ ㄔㄤˇ,lì chǎng,position / standpoint,個|个,N,Level 4
立即,立即,ㄌㄧˋ ㄐㄧˊ,lì jí,immediately,,Adv,Level 4
利,利,ㄌㄧˋ,lì,sharp / favorable / advantage / benefit / profit / interest / to do good to / to benefit,,Vs,Level 4
利潤,利润,ㄌㄧˋ ㄖㄨㄣˋ,lì rùn,profits,,N,Level 4
利息,利息,ㄌㄧˋ ㄒㄧˊ,lì xí,interest (on a loan),筆|笔,N,Level 4
例外,例外,ㄌㄧˋ ㄨㄞˋ,lì wài,exception / to be an exception,,Vs,Level 4
粒,粒,ㄌㄧˋ,lì,"grain / granule / classifier for small round things (peas, bullets, peanuts, pills, grains etc)",,M,Level 4
聯合,联合,ㄌㄧㄢˊ ㄏㄜˊ,lián hé,to combine / to join / unite / alliance,,V,Level 4
聯合國,联合国,ㄌㄧㄢˊ ㄏㄜˊ ㄍㄨㄛˊ,lián hé guó,United Nations,,N,Level 4
連,连,ㄌㄧㄢˊ,lián,"to link / to join / to connect / continuously / in succession / including / (used with 也[ye3], 都[dou1] etc) even / company (military)",,Adv,Level 4
連接,连接,ㄌㄧㄢˊ ㄐㄧㄝ,lián jiē,to link / to join / to attach / connection / a link (on web page),,Vst,Level 4
連忙,连忙,ㄌㄧㄢˊ ㄇㄤˊ,lián máng,promptly / at once,,Adv,Level 4
連續,连续,ㄌㄧㄢˊ ㄒㄩˋ,lián xù,continuous / in a row / serial / consecutive,,Vs-attr,Level 4
臉色,脸色,ㄌㄧㄢˇ ㄙㄜˋ,liǎn sè,complexion / look,,N,Level 4
量,量,ㄌㄧㄤˊ,liáng,"capacity / quantity / amount / to estimate / abbr. for 量詞|量词[liang4 ci2], classifier (in Chinese grammar) / measure word",,V,Level 4
糧食,粮食,ㄌㄧㄤˊ ㄕˊ,liáng shí,foodstuff / cereals,種|种,N,Level 4
倆,俩,ㄌㄧㄤˇ,liǎng,two (colloquial equivalent of 兩個|两个) / both / some,,N,Level 4
亮,亮,ㄌㄧㄤˋ,liàng,bright / clear / resonant / to shine / to show / to reveal,,V,Level 4
諒解,谅解,ㄌㄧㄤˋ ㄐㄧㄝˇ,liàng jiě,to understand / to make allowances for / understanding,,Vst,Level 4
了,了,ㄌㄧㄠˇ,liǎo,to finish / to achieve / variant of 瞭|了[liao3] / to understand clearly,,Vst,Level 4
列,列,ㄌㄧㄝˋ,liè,to arrange / to line up / file / series / (in data tables) column / (Tw) row,,M,Level 4
裂,裂,ㄌㄧㄝˋ,liè,to split / to crack / to break open / to rend,,Vp,Level 4
淋,淋,ㄌㄧㄣˊ,lín,to filter / to strain / to drain / gonorrhea / (TCM) strangury,,V,Level 4
臨,临,ㄌㄧㄣˊ,lín,to face / to overlook / to arrive / to be (just) about to / just before,,Vst,Level 4
臨時,临时,ㄌㄧㄣˊ ㄕˊ,lín shí,as the time draws near / at the last moment / temporary / interim / ad hoc,,N,Level 4
凌晨,凌晨,ㄌㄧㄥˊ ㄔㄣˊ,líng chén,very early in the morning / in the wee hours,,N,Level 4
靈活,灵活,ㄌㄧㄥˊ ㄏㄨㄛˊ,líng huó,flexible / nimble / agile,,Vs,Level 4
零件,零件,ㄌㄧㄥˊ ㄐㄧㄢˋ,líng jiàn,part / component,,N,Level 4
零售,零售,ㄌㄧㄥˊ ㄕㄡˋ,líng shòu,to retail / to sell individually or in small quantities,,V,Level 4
零下,零下,ㄌㄧㄥˊ ㄒㄧㄚˋ,líng xià,below zero,,Vs-attr,Level 4
領帶,领带,ㄌㄧㄥˇ ㄉㄞˋ,lǐng dài,necktie,條|条,N,Level 4
領導,领导,ㄌㄧㄥˇ ㄉㄠˇ,lǐng dǎo,lead / leading / to lead / leadership / leader,位|位 / 個|个,N,Level 4
領土,领土,ㄌㄧㄥˇ ㄊㄨˇ,lǐng tǔ,territory,,N,Level 4
領先,领先,ㄌㄧㄥˇ ㄒㄧㄢ,lǐng xiān,to lead / to be in front,,Vpt,Level 4
領袖,领袖,ㄌㄧㄥˇ ㄒㄧㄡˋ,lǐng xiù,leader,個|个 / 位|位 / 名|名,N,Level 4
另,另,ㄌㄧㄥˋ,lìng,other / another / separate / separately,,Det,Level 4
另外,另外,ㄌㄧㄥˋ ㄨㄞˋ,lìng wài,additional / in addition / besides / separate / other / moreover / furthermore,,Conj,Level 4
另外,另外,ㄌㄧㄥˋ ㄨㄞˋ,lìng wài,additional / in addition / besides / separate / other / moreover / furthermore,,Det,Level 4
溜,熘,ㄌㄧㄡ,liū,to slip away / to escape in stealth / to skate,,Vi,Level 4
流動,流动,ㄌㄧㄡˊ ㄉㄨㄥˋ,liú dòng,to flow / to circulate / to go from place to place / to be mobile / (of assets) liquid,,Vi,Level 4
流利,流利,ㄌㄧㄡˊ ㄌㄧˋ,liú lì,fluent,,Vs,Level 4
留念,留念,ㄌㄧㄡˊ ㄋㄧㄢˋ,liú niàn,to keep as a souvenir / to recall fondly,,Vs,Level 4
嘍,喽,ㄌㄡˊ,lóu,"(final particle equivalent to 了[le5]) / (particle calling attention to, or mildly warning of, a situation)",,Ptc,Level 4
摟,搂,ㄌㄡˇ,lǒu,to hug / to embrace / to hold in one's arms,,V,Level 4
露,露,ㄌㄨˋ,lù,dew / syrup / nectar / outdoors (not under cover) / to show / to reveal / to betray / to expose,,V,Level 4
路燈,路灯,ㄌㄨˋ ㄉㄥ,lù dēng,street lamp / street light,,N,Level 4
路線,路线,ㄌㄨˋ ㄒㄧㄢˋ,lù xiàn,itinerary / route / political line (e.g. right revisionist road),條|条,N,Level 4
陸軍,陆军,ㄌㄨˋ ㄐㄩㄣ,lù jūn,army / ground forces,,N,Level 4
陸續,陆续,ㄌㄨˋ ㄒㄩˋ,lù xù,in turn / successively / one after the other / bit by bit,,Adv,Level 4
錄用,录用,ㄌㄨˋ ㄩㄥˋ,lù yòng,to hire (an employee) / to accept (a manuscript) for publication,,V,Level 4
輪船,轮船,ㄌㄨㄣˊ ㄔㄨㄢˊ,lún chuán,steamship / steamer / ocean liner / ship,艘|艘,N,Level 4
輪流,轮流,ㄌㄨㄣˊ ㄌㄧㄡˊ,lún liú,to alternate / to take turns,,Adv,Level 4
輪子,轮子,ㄌㄨㄣˊ ㄗ˙,lún zi,wheel,個|个,N,Level 4
論,论,ㄌㄨㄣˋ,lùn,"opinion / view / theory / doctrine / to discuss / to talk about / to regard / to consider / per / by the (kilometer, hour etc)",,V,Level 4
論文,论文,ㄌㄨㄣˋ ㄨㄣˊ,lùn wén,paper / treatise / thesis / to discuss a paper or thesis (old),篇|篇,N,Level 4
落,落,ㄌㄨㄛˋ,luò,to fall or drop / (of the sun) to set / (of a tide) to go out / to lower / to decline or sink / to lag or fall behind / to fall onto / to rest with / to get or receive / to write down / whereabouts / settlement,,Vi,Level 4
落後,落后,ㄌㄨㄛˋ ㄏㄡˋ,luò hòu,to fall behind / to lag (in technology etc) / backward / to retrogress,,Vpt,Level 4
落實,落实,ㄌㄨㄛˋ ㄕˊ,luò shí,practical / workable / to implement / to carry out / to decide,,V,Level 4
落伍,落伍,ㄌㄨㄛˋ ㄨˇ,luò wǔ,to fall behind the ranks / to be outdated,,Vs,Level 4
旅行社,旅行社,ㄌㄩˇ ㄒㄧㄥˊ ㄕㄜˋ,lǚ xíng shè,travel agency,,N,Level 4
綠豆,绿豆,ㄌㄩˋ ㄉㄡˋ,lǜ dòu,mung bean,,N,Level 4
略,略,ㄌㄩㄝˋ,lüè,plan / strategy / outline / summary / slightly / rather / to rob / to plunder / to summarize / to omit,,Vs,Level 4
麻,麻,ㄇㄚˊ,má,"generic name for hemp, flax etc / hemp or flax fiber for textile materials / sesame / (of materials) rough or coarse / pocked / pitted / to have pins and needles or tingling / to feel numb",縷|缕,Vs,Level 4
麻雀,麻雀,ㄇㄚˊ ㄑㄩㄝˋ,má què,sparrow / (dialect) mahjong,,N,Level 4
馬虎,马虎,ㄇㄚˇ ㄏㄨ,mǎ hū,careless / sloppy / negligent / skimpy,,Vs,Level 4
埋,埋,ㄇㄞˊ,mái,to blame,,V,Level 4
買單,买单,ㄇㄞˇ ㄉㄢ,mǎi dān,to pay the restaurant bill,,V-sep,Level 4
買賣,买卖,ㄇㄞˇ ㄇㄞˋ,mǎi mài,buying and selling / business / business transactions,樁|桩 / 次|次,V,Level 4
饅頭,馒头,ㄇㄢˊ ㄊㄡ˙,mán tou,steamed roll / steamed bun / steamed bread,個|个,N,Level 4
蠻,蛮,ㄇㄢˊ,mán,barbarian / bullying / very / quite / rough / reckless,,Adv,Level 4
滿,满,ㄇㄢˇ,mǎn,to fill / full / filled / packed / fully / completely / quite / to reach the limit / to satisfy / satisfied / contented,,Adv,Level 4
漫畫,漫画,ㄇㄢˋ ㄏㄨㄚˋ,màn huà,caricature / cartoon / Japanese manga,,N,Level 4
忙碌,忙碌,ㄇㄤˊ ㄌㄨˋ,máng lù,busy / bustling,,Vs,Level 4
盲目,盲目,ㄇㄤˊ ㄇㄨˋ,máng mù,blind / blindly / ignorant / lacking understanding,,Vs,Level 4
矛盾,矛盾,ㄇㄠˊ ㄉㄨㄣˋ,máo dùn,contradiction / conflicting views / contradictory,個|个,Vs,Level 4
毛巾,毛巾,ㄇㄠˊ ㄐㄧㄣ,máo jīn,towel,條|条,N,Level 4
冒,冒,ㄇㄠˋ,mào,"to emit / to give off / to send out (or up, forth) / to brave / to face / reckless / to falsely adopt (sb's identity etc) / to feign / (literary) to cover",,V,Level 4
煤,煤,ㄇㄟˊ,méi,coal,塊|块,N,Level 4
梅花,梅花,ㄇㄟˊ ㄏㄨㄚ,méi huā,plum blossom / clubs ♣ (a suit in card games) / wintersweet (dialect),,N,Level 4
美觀,美观,ㄇㄟˇ ㄍㄨㄢ,měi guān,pleasing to the eye / beautiful / artistic,,Vs,Level 4
美妙,美妙,ㄇㄟˇ ㄇㄧㄠˋ,měi miào,beautiful / wonderful / splendid,,Vs,Level 4
魅力,魅力,ㄇㄟˋ ㄌㄧˋ,mèi lì,charm / fascination / glamor / charisma,,N,Level 4
門,门,ㄇㄣˊ,mén,"gate / door / gateway / doorway / opening / valve / switch / way to do something / knack / family / house / (religious) sect / school (of thought) / class / category / phylum or division (taxonomy) / classifier for large guns / classifier for lessons, subjects, branches of technology / (suffix) -gate (i.e. scandal; derived from Watergate)",扇|扇 / 個|个,M,Level 4
門票,门票,ㄇㄣˊ ㄆㄧㄠˋ,mén piào,"ticket (for theater, cinema etc)",,N,Level 4
門診,门诊,ㄇㄣˊ ㄓㄣˇ,mén zhěn,outpatient service,,Vi,Level 4
猛,勐,ㄇㄥˇ,měng,ferocious / fierce / violent / brave / suddenly / abrupt / (slang) awesome,,Vs,Level 4
夢到,梦到,ㄇㄥˋ ㄉㄠˋ,mèng dào,to dream of / to dream about,,Vpt,Level 4
夢想,梦想,ㄇㄥˋ ㄒㄧㄤˇ,mèng xiǎng,(fig.) to dream of / dream,,N,Level 4
夢想,梦想,ㄇㄥˋ ㄒㄧㄤˇ,mèng xiǎng,(fig.) to dream of / dream,,V,Level 4
迷,迷,ㄇㄧˊ,mí,to bewilder / crazy about / fan / enthusiast / lost / confused,,Vst,Level 4
迷糊,迷煳,ㄇㄧˊ ㄏㄨˊ,mí hú,muddle-headed / dazed / only half conscious,,Vs,Level 4
迷失,迷失,ㄇㄧˊ ㄕ,mí shī,to lose (one's bearings) / to get lost,,Vp,Level 4
迷信,迷信,ㄇㄧˊ ㄒㄧㄣˋ,mí xìn,superstition / to have a superstitious belief (in sth),,N,Level 4
迷信,迷信,ㄇㄧˊ ㄒㄧㄣˋ,mí xìn,superstition / to have a superstitious belief (in sth),,Vs,Level 4
密,密,ㄇㄧˋ,mì,secret / confidential / close / thick / dense,,Vs,Level 4
蜜蜂,蜜蜂,ㄇㄧˋ ㄈㄥ,mì fēng,bee / honeybee,隻|只 / 群|群,N,Level 4
秘書,秘书,ㄇㄧˋ ㄕㄨ,mì shū,secretary,,N,Level 4
祕書,祕书,ㄇㄧˋ ㄕㄨ,mì shū,secretary,,N,Level 4
棉,棉,ㄇㄧㄢˊ,mián,generic term for cotton or kapok / cotton / padded or quilted with cotton,,N,Level 4
棉被,棉被,ㄇㄧㄢˊ ㄅㄟˋ,mián bèi,comforter / quilt,條|条 / 面|面,N,Level 4
棉花,棉花,ㄇㄧㄢˊ ㄏㄨㄚ,mián huā,cotton,,N,Level 4
免得,免得,ㄇㄧㄢˇ ㄉㄜ˙,miǎn de,so as not to / so as to avoid,,Aux,Level 4
勉強,勉强,ㄇㄧㄢˇ ㄑㄧㄤˇ,miǎn qiǎng,to do with difficulty / to force sb to do sth / reluctant / barely enough,,Vs,Level 4
面,面,ㄇㄧㄢˋ,miàn,"face / side / surface / aspect / top / classifier for flat surfaces such as drums, mirrors, flags etc",,M,Level 4
面對,面对,ㄇㄧㄢˋ ㄉㄨㄟˋ,miàn duì,to confront / to face,,V,Level 4
面臨,面临,ㄇㄧㄢˋ ㄌㄧㄣˊ,miàn lín,to face sth / to be confronted with,,Vst,Level 4
面貌,面貌,ㄇㄧㄢˋ ㄇㄠˋ,miàn mào,appearance / face / features,個|个,N,Level 4
面子,面子,ㄇㄧㄢˋ ㄗ˙,miàn zi,"outer surface / outside / honor / reputation / face (as in ""losing face"") / self-respect / feelings / (medicinal) powder",,N,Level 4
麵粉,面粉,ㄇㄧㄢˋ ㄈㄣˇ,miàn fěn,flour,,N,Level 4
妙,妙,ㄇㄧㄠˋ,miào,clever / wonderful,,Vs,Level 4
滅亡,灭亡,ㄇㄧㄝˋ ㄨㄤˊ,miè wáng,to be destroyed / to become extinct / to perish / to die out / to destroy / to exterminate,,Vp,Level 4
民間,民间,ㄇㄧㄣˊ ㄐㄧㄢ,mín jiān,among the people / popular / folk / non-governmental / involving people rather than governments,,N,Level 4
民謠,民谣,ㄇㄧㄣˊ ㄧㄠˊ,mín yáo,ballad / folk song,,N,Level 4
民眾,民众,ㄇㄧㄣˊ ㄓㄨㄥˋ,mín zhòng,populace / masses / the people,,N,Level 4
民主,民主,ㄇㄧㄣˊ ㄓㄨˇ,mín zhǔ,democracy,,N,Level 4
民主,民主,ㄇㄧㄣˊ ㄓㄨˇ,mín zhǔ,democracy,,Vs,Level 4
名,名,ㄇㄧㄥˊ,míng,name / noun (part of speech) / place (e.g. among winners) / famous / classifier for people,,Vst,Level 4
名稱,名称,ㄇㄧㄥˊ ㄔㄥ,míng chēng,name (of a thing) / name (of an organization),,N,Level 4
名單,名单,ㄇㄧㄥˊ ㄉㄢ,míng dān,list of names,,N,Level 4
名牌,名牌,ㄇㄧㄥˊ ㄆㄞˊ,míng pái,famous brand / nameplate / name tag,,N,Level 4
名片,名片,ㄇㄧㄥˊ ㄆㄧㄢˋ,míng piàn,(business) card,,N,Level 4
明白,明白,ㄇㄧㄥˊ ㄅㄞˊ,míng bái,clear / obvious / unequivocal / to understand / to realize,,Vs,Level 4
明亮,明亮,ㄇㄧㄥˊ ㄌㄧㄤˋ,míng liàng,bright / shining / glittering / to become clear,,Vs,Level 4
明明,明明,ㄇㄧㄥˊ ㄇㄧㄥˊ,míng míng,obviously / plainly / undoubtedly / definitely,,Adv,Level 4
明確,明确,ㄇㄧㄥˊ ㄑㄩㄝˋ,míng què,clear-cut / definite / explicit / to clarify / to specify / to make definite,,Vs,Level 4
命,命,ㄇㄧㄥˋ,mìng,"life / fate / order or command / to assign a name, title etc",,V,Level 4
命令,命令,ㄇㄧㄥˋ ㄌㄧㄥˋ,mìng lìng,order / command,道|道 / 個|个,N,Level 4
命令,命令,ㄇㄧㄥˋ ㄌㄧㄥˋ,mìng lìng,order / command,道|道 / 個|个,V,Level 4
命運,命运,ㄇㄧㄥˋ ㄩㄣˋ,mìng yùn,fate / destiny,個|个,N,Level 4
磨,磨,ㄇㄛˊ,mó,grindstone / to grind / to turn round,,V,Level 4
模仿,模仿,ㄇㄛˊ ㄈㄤˇ,mó fǎng,to imitate / to copy / to emulate / to mimic / model,,V,Level 4
模糊,模煳,ㄇㄛˊ ㄏㄨˊ,mó hú,vague / indistinct / fuzzy,,Vs,Level 4
模型,模型,ㄇㄛˊ ㄒㄧㄥˊ,mó xíng,model / mold / matrix / pattern,,N,Level 4
模樣,模样,ㄇㄛˊ ㄧㄤˋ,mó yàng,look / style / appearance / approximation / about / also pr. [mo2 yang4],個|个,N,Level 4
抹,抹,ㄇㄛˇ,mǒ,to plaster / to go around / to skirt,,V,Level 4
目標,目标,ㄇㄨˋ ㄅㄧㄠ,mù biāo,target / goal / objective,個|个,N,Level 4
目的地,目的地,ㄇㄨˋ ㄉㄧˋ ㄉㄧˋ,mù dì dì,destination (location),,N,Level 4
目錄,目录,ㄇㄨˋ ㄌㄨˋ,mù lù,catalog / table of contents / directory (on computer hard drive) / list / contents,,N,Level 4
哪怕,哪怕,ㄋㄚˇ ㄆㄚˋ,nǎ pà,even / even if / even though / no matter how,,Conj,Level 4
奶粉,奶粉,ㄋㄞˇ ㄈㄣˇ,nǎi fěn,powdered milk,,N,Level 4
耐心,耐心,ㄋㄞˋ ㄒㄧㄣ,nài xīn,to be patient / patience,,Adv,Level 4
耐用,耐用,ㄋㄞˋ ㄩㄥˋ,nài yòng,durable,,Vs,Level 4
難道,难道,ㄋㄢˊ ㄉㄠˋ,nán dào,don't tell me ... / could it be that...?,,Adv,Level 4
難得,难得,ㄋㄢˊ ㄉㄜˊ,nán dé,seldom / rare / hard to come by,,Vs,Level 4
難受,难受,ㄋㄢˊ ㄕㄡˋ,nán shòu,to feel unwell / to suffer pain / to be difficult to bear,,Vs,Level 4
